tampered,tampered_path,category,ground_truth,ground_truth_path,host,splice_source
Sp_D_NNN_A_cha0036_cha0028_0307.jpg,/home/y/yuanbo/datasets/CASIA1.0/Tp/Sp/Sp_D_NNN_A_cha0036_cha0028_0307.jpg,splicing,Sp_D_NNN_A_cha0036_cha0028_0307_gt.png,/home/y/yuanbo/datasets/CASIA1.0/groundtruth/Sp/Sp_D_NNN_A_cha0036_cha0028_0307_gt.png,Au_cha_0036.jpg,Au_cha_0028.jpg
Sp_D_CRN_A_sec0083_ani0039_0401.jpg,/home/y/yuanbo/datasets/CASIA1.0/Tp/Sp/Sp_D_CRN_A_sec0083_ani0039_0401.jpg,splicing,Sp_D_CRN_A_sec0083_ani0039_0401_gt.png,/home/y/yuanbo/datasets/CASIA1.0/groundtruth/Sp/Sp_D_CRN_A_sec0083_ani0039_0401_gt.png,Au_sec_0083.jpg,Au_ani_0039.jpg
Sp_D_NNN_A_arc0052_ani0017_0293.jpg,/home/y/yuanbo/datasets/CASIA1.0/Tp/Sp/Sp_D_NNN_A_arc0052_ani0017_0293.jpg,splicing,Sp_D_NNN_A_arc0052_ani0017_0293_gt.png,/home/y/yuanbo/datasets/CASIA1.0/groundtruth/Sp/Sp_D_NNN_A_arc0052_ani0017_0293_gt.png,Au_arc_0052.jpg,Au_ani_0017.jpg
Sp_D_NNN_R_cha0084_sec0061_0369.jpg,/home/y/yuanbo/datasets/CASIA1.0/Tp/Sp/Sp_D_NNN_R_cha0084_sec0061_0369.jpg,splicing,Sp_D_NNN_R_cha0084_sec0061_0369_gt.png,/home/y/yuanbo/datasets/CASIA1.0/groundtruth/Sp/Sp_D_NNN_R_cha0084_sec0061_0369_gt.png,Au_cha_0084.jpg,Au_sec_0061.jpg
Sp_D_NRN_A_cha0095_ani0078_0424.jpg,/home/y/yuanbo/datasets/CASIA1.0/Tp/Sp/Sp_D_NRN_A_cha0095_ani0078_0424.jpg,splicing,Sp_D_NRN_A_cha0095_ani0078_0424_gt.png,/home/y/yuanbo/datasets/CASIA1.0/groundtruth/Sp/Sp_D_NRN_A_cha0095_ani0078_0424_gt.png,Au_cha_0095.jpg,Au_ani_0078.jpg
Sp_D_NRN_A_ani0021_pla0001_0434.jpg,/home/y/yuanbo/datasets/CASIA1.0/Tp/Sp/Sp_D_NRN_A_ani0021_pla0001_0434.jpg,splicing,Sp_D_NRN_A_ani0021_pla0001_0434_gt.png,/home/y/yuanbo/datasets/CASIA1.0/groundtruth/Sp/Sp_D_NRN_A_ani0021_pla0001_0434_gt.png,Au_ani_0021.jpg,Au_pla_0001.jpg
Sp_D_CRN_A_sec0001_art0001_0395.jpg,/home/y/yuanbo/datasets/CASIA1.0/Tp/Sp/Sp_D_CRN_A_sec0001_art0001_0395.jpg,splicing,Sp_D_CRN_A_sec0001_art0001_0395_gt.png,/home/y/yuanbo/datasets/CASIA1.0/groundtruth/Sp/Sp_D_CRN_A_sec0001_art0001_0395_gt.png,Au_sec_0001.jpg,Au_art_0001.jpg
Sp_D_CND_A_sec0056_sec0015_0282.jpg,/home/y/yuanbo/datasets/CASIA1.0/Tp/Sp/Sp_D_CND_A_sec0056_sec0015_0282.jpg,splicing,Sp_D_CND_A_sec0056_sec0015_0282_gt.png,/home/y/yuanbo/datasets/CASIA1.0/groundtruth/Sp/Sp_D_CND_A_sec0056_sec0015_0282_gt.png,Au_sec_0056.jpg,Au_sec_0015.jpg
Sp_D_NNN_A_arc0032_arc0031_0104.jpg,/home/y/yuanbo/datasets/CASIA1.0/Tp/Sp/Sp_D_NNN_A_arc0032_arc0031_0104.jpg,splicing,Sp_D_NNN_A_arc0032_arc0031_0104_gt.png,/home/y/yuanbo/datasets/CASIA1.0/groundtruth/Sp/Sp_D_NNN_A_arc0032_arc0031_0104_gt.png,Au_arc_0032.jpg,Au_arc_0031.jpg
Sp_D_NRN_A_cha0003_pla0043_0538.jpg,/home/y/yuanbo/datasets/CASIA1.0/Tp/Sp/Sp_D_NRN_A_cha0003_pla0043_0538.jpg,splicing,Sp_D_NRN_A_cha0003_pla0043_0538_gt.png,/home/y/yuanbo/datasets/CASIA1.0/groundtruth/Sp/Sp_D_NRN_A_cha0003_pla0043_0538_gt.png,Au_cha_0003.jpg,Au_pla_0043.jpg
Sp_D_NNN_A_ani0033_ani0034_0285.jpg,/home/y/yuanbo/datasets/CASIA1.0/Tp/Sp/Sp_D_NNN_A_ani0033_ani0034_0285.jpg,splicing,Sp_D_NNN_A_ani0033_ani0034_0285_gt.png,/home/y/yuanbo/datasets/CASIA1.0/groundtruth/Sp/Sp_D_NNN_A_ani0033_ani0034_0285_gt.png,Au_ani_0033.jpg,Au_ani_0034.jpg
Sp_D_NRN_A_cha0088_cha0028_0524.jpg,/home/y/yuanbo/datasets/CASIA1.0/Tp/Sp/Sp_D_NRN_A_cha0088_cha0028_0524.jpg,splicing,Sp_D_NRN_A_cha0088_cha0028_0524_gt.png,/home/y/yuanbo/datasets/CASIA1.0/groundtruth/Sp/Sp_D_NRN_A_cha0088_cha0028_0524_gt.png,Au_cha_0088.jpg,Au_cha_0028.jpg
Sp_D_NRN_A_nat0018_nat0016_0180.jpg,/home/y/yuanbo/datasets/CASIA1.0/Tp/Sp/Sp_D_NRN_A_nat0018_nat0016_0180.jpg,splicing,Sp_D_NRN_A_nat0018_nat0016_0180_gt.png,/home/y/yuanbo/datasets/CASIA1.0/groundtruth/Sp/Sp_D_NRN_A_nat0018_nat0016_0180_gt.png,Au_nat_0018.jpg,Au_nat_0016.jpg
Sp_D_NRN_A_arc0003_arc0009_0233.jpg,/home/y/yuanbo/datasets/CASIA1.0/Tp/Sp/Sp_D_NRN_A_arc0003_arc0009_0233.jpg,splicing,Sp_D_NRN_A_arc0003_arc0009_0233_gt.png,/home/y/yuanbo/datasets/CASIA1.0/groundtruth/Sp/Sp_D_NRN_A_arc0003_arc0009_0233_gt.png,Au_arc_0003.jpg,Au_arc_0009.jpg
Sp_D_NRN_A_sec0031_art0003_0551.jpg,/home/y/yuanbo/datasets/CASIA1.0/Tp/Sp/Sp_D_NRN_A_sec0031_art0003_0551.jpg,splicing,Sp_D_NRN_A_sec0031_art0003_0551_gt.png,/home/y/yuanbo/datasets/CASIA1.0/groundtruth/Sp/Sp_D_NRN_A_sec0031_art0003_0551_gt.png,Au_sec_0031.jpg,Au_art_0003.jpg
Sp_D_NNN_A_arc0072_pla0097_0294.jpg,/home/y/yuanbo/datasets/CASIA1.0/Tp/Sp/Sp_D_NNN_A_arc0072_pla0097_0294.jpg,splicing,Sp_D_NNN_A_arc0072_pla0097_0294_gt.png,/home/y/yuanbo/datasets/CASIA1.0/groundtruth/Sp/Sp_D_NNN_A_arc0072_pla0097_0294_gt.png,Au_arc_0072.jpg,Au_pla_0097.jpg
Sp_D_NRN_A_cha0048_cha0049_0496.jpg,/home/y/yuanbo/datasets/CASIA1.0/Tp/Sp/Sp_D_NRN_A_cha0048_cha0049_0496.jpg,splicing,Sp_D_NRN_A_cha0048_cha0049_0496_gt.png,/home/y/yuanbo/datasets/CASIA1.0/groundtruth/Sp/Sp_D_NRN_A_cha0048_cha0049_0496_gt.png,Au_cha_0048.jpg,Au_cha_0049.jpg
Sp_D_NRN_A_arc0069_arc0085_0241.jpg,/home/y/yuanbo/datasets/CASIA1.0/Tp/Sp/Sp_D_NRN_A_arc0069_arc0085_0241.jpg,splicing,Sp_D_NRN_A_arc0069_arc0085_0241_gt.png,/home/y/yuanbo/datasets/CASIA1.0/groundtruth/Sp/Sp_D_NRN_A_arc0069_arc0085_0241_gt.png,Au_arc_0069.jpg,Au_arc_0085.jpg
