img,qf_1,qf_2
r146771d7t.jpg,60,55
r1e3303ebt.jpg,90,50
r1a2095b2t.jpg,50,60
r15dfc1b8t.jpg,100,55
r02897203t.jpg,50,100
r1d1cf607t.jpg,75,95
r1d527f65t.jpg,70,100
r0fb0a690t.jpg,100,50
r18d72ab2t.jpg,85,70
r0ce35df8t.jpg,60,85
r061e2ecft.jpg,55,90
r0fdfc4f0t.jpg,65,75
r133bb357t.jpg,95,95
r0fd69c12t.jpg,80,75
r121f7893t.jpg,95,70
r1023c21et.jpg,65,90
r0bc0e549t.jpg,80,50
r1bc23d6et.jpg,60,70
r1900f7c7t.jpg,65,50
r0bc7d0eet.jpg,85,80
r07ece355t.jpg,55,100
r116825e2t.jpg,50,90
r00b3931bt.jpg,85,55
r03aa5df1t.jpg,80,85
r0d8d62edt.jpg,75,100
r1a9783cdt.jpg,85,80
r053d2196t.jpg,85,60
r008ed083t.jpg,60,75
r07c47354t.jpg,55,70
r1ab1679et.jpg,75,100
r0b0e2ba5t.jpg,85,95
r13dab3c7t.jpg,75,90
r1d3bc675t.jpg,75,75
r01a31693t.jpg,60,75
r0f5beb66t.jpg,95,60
r0b5b85d0t.jpg,55,85
r17754c77t.jpg,60,70
r1618da9dt.jpg,65,60
r110b4219t.jpg,80,65
r110f894ft.jpg,65,90
r1c402787t.jpg,80,75
r145221d9t.jpg,60,55
r01511e3et.jpg,90,80
r1bdb6385t.jpg,55,55
r1ef15cb3t.jpg,55,50
r1a7bb1d6t.jpg,95,85
r088dcebft.jpg,60,75
r06cad2d6t.jpg,95,75
r1ca0784dt.jpg,75,50
r1db5be20t.jpg,75,95
r129f24bet.jpg,70,50
r1bc3dd23t.jpg,60,85
r108ba35et.jpg,65,100
r0f8e5907t.jpg,85,85
r1c2ac865t.jpg,85,50
r1cfe520bt.jpg,60,50
r028896d3t.jpg,75,85
r1828d94at.jpg,65,50
r0c5e9567t.jpg,50,60
r0c9910e4t.jpg,60,100
r13a9002bt.jpg,95,55
r113ee9edt.jpg,95,60
r0b5a3035t.jpg,55,90
r09f764ect.jpg,65,80
r11a4e1cbt.jpg,95,90
r09d5cb41t.jpg,95,70
r0150031ft.jpg,50,70
r000da54ft.jpg,85,50
r006fcc20t.jpg,85,100
r02f1ba48t.jpg,95,55
r12cbfb1et.jpg,80,95
r0deb6dadt.jpg,95,70
r031917act.jpg,90,85
r069e346et.jpg,75,65
r14bfe6f4t.jpg,75,85
r0bc1a779t.jpg,55,95
r082626aft.jpg,95,95
r04e7644dt.jpg,70,55
r05243256t.jpg,75,65
r1e9082f9t.jpg,85,65
r195a5f44t.jpg,60,50
r050e1024t.jpg,90,80
r084889d5t.jpg,50,90
r11c4de0et.jpg,70,80
r0487f5cet.jpg,50,70
r1419078bt.jpg,85,55
r16d6c35dt.jpg,100,50
r0b13d2a2t.jpg,85,80
r063d8a61t.jpg,60,80
r0fbd0c71t.jpg,85,50
r115e2464t.jpg,70,65
r123ca9b3t.jpg,50,55
r18798194t.jpg,60,95
r1f23f4ddt.jpg,60,80
r0941aa38t.jpg,70,80
r06836fdat.jpg,100,85
r0450c4c0t.jpg,100,60
r1d9a31fct.jpg,80,95
r0c764979t.jpg,90,75
r037a250ft.jpg,90,55
r03f41fdct.jpg,55,95
r07c51648t.jpg,85,95
r0b3979d0t.jpg,60,95
r07b99141t.jpg,95,65
r16422663t.jpg,65,85
r062b9259t.jpg,95,55
r1bc3a653t.jpg,50,75
r1de76a54t.jpg,50,85
r065472d8t.jpg,70,85
r015b453ft.jpg,50,65
r01a5f38at.jpg,85,65
r12c5f70bt.jpg,65,85
r0fbb5bc1t.jpg,70,50
r17228bbdt.jpg,65,95
r13a5bb6bt.jpg,55,65
r0a808003t.jpg,90,60
r14a51689t.jpg,95,65
r1c23e440t.jpg,65,60
r0ed844b5t.jpg,65,95
r0eab8214t.jpg,85,75
r103a4f26t.jpg,55,90
r0191aaf4t.jpg,95,95
r0701ca45t.jpg,60,65
r129f09b4t.jpg,80,90
r0cde6159t.jpg,60,85
r113b7fb4t.jpg,100,95
r0b99ac3ct.jpg,85,80
r0fbe1b0ft.jpg,75,65
r059cae86t.jpg,50,55
r0bbd0b0et.jpg,80,90
r0428df0ct.jpg,50,100
r03c8ddcft.jpg,80,70
r1cc04f4ft.jpg,80,95
r0676c50at.jpg,85,100
r1a2d8b02t.jpg,55,70
r179ed8d7t.jpg,75,55
r0a94587ft.jpg,75,55
r012b0f30t.jpg,50,85
r09c15af7t.jpg,65,80
r0f98115dt.jpg,75,75
r018ba134t.jpg,100,80
r11e134c7t.jpg,60,65
r0225b88bt.jpg,65,90
r0f71782et.jpg,70,90
r0667a51ft.jpg,70,65
r0d0ff4c2t.jpg,50,55
r1c146589t.jpg,65,75
r13c85634t.jpg,85,85
r16d46fa3t.jpg,65,90
r1b32a6bct.jpg,80,55
r17afaaa1t.jpg,50,65
r09dc6407t.jpg,55,100
r1a7b8c42t.jpg,75,65
r087a13a6t.jpg,85,95
r0809811bt.jpg,85,85
r1ea13eb4t.jpg,90,70
r04851bf9t.jpg,65,85
r0b0cd69et.jpg,90,75
r0c3a8ea0t.jpg,75,50
r131a8f7et.jpg,85,90
r1a5903fct.jpg,85,75
r052df821t.jpg,70,50
r1645a09ct.jpg,85,85
r1c09b002t.jpg,50,100
r1cd8d9a4t.jpg,70,65
r13c19caft.jpg,95,75
r07e35007t.jpg,85,75
r0b665b37t.jpg,80,95
r0fbf62f8t.jpg,70,55
r1717ae55t.jpg,50,90
r1f48d12dt.jpg,55,85
r1c070921t.jpg,60,95
r05f3f6a5t.jpg,90,70
r177fb9f1t.jpg,80,50
r1c9fdcf4t.jpg,70,80
r10940798t.jpg,95,55
r125034a9t.jpg,80,65
r0d203f37t.jpg,55,95
r16da5576t.jpg,85,80
r03193652t.jpg,65,80
r1344c943t.jpg,85,100
r1dd998dft.jpg,55,80
r101af5b4t.jpg,55,65
r0db31c3ft.jpg,65,60
r14dd8f91t.jpg,70,80
r141e4467t.jpg,80,95
r13837601t.jpg,75,90
r14ca1259t.jpg,75,90
r1a8ee526t.jpg,100,75
r059ce7d0t.jpg,55,85
r0c03e364t.jpg,100,75
r16192cf0t.jpg,75,95
r193b12aet.jpg,70,70
r133c5a52t.jpg,55,55
r16dca6f2t.jpg,80,60
r0de97473t.jpg,100,85
r0355b2d5t.jpg,90,65
r0cd4ffb0t.jpg,85,90
r07df029bt.jpg,60,95
r0f6250d2t.jpg,80,55
r0b07b945t.jpg,95,75
r0a10fe29t.jpg,65,95
r19d92967t.jpg,80,100
r171eeaf8t.jpg,85,90
r0fe270aet.jpg,90,100
r0e5b5159t.jpg,80,50
r0a2ff882t.jpg,55,100
r13073518t.jpg,75,100
r097d3563t.jpg,90,95
r1a57cb29t.jpg,90,80
r042d7b17t.jpg,95,55
r187df69ft.jpg,95,65
r096982ddt.jpg,65,85
r1a1d24b2t.jpg,80,95
r0f86049ct.jpg,55,85
r1b8b1b14t.jpg,50,55
r08b05c94t.jpg,90,50
r017904f0t.jpg,65,85
r1f16e2abt.jpg,60,70
r07e242b7t.jpg,75,50
r036e2a9at.jpg,75,50
r1f40decct.jpg,95,70
r00c4a543t.jpg,80,60
r0ba4c4c0t.jpg,95,60
r1b09da9ct.jpg,50,90
r022af74ct.jpg,75,50
r17217693t.jpg,65,65
r1a7feb2bt.jpg,80,65
r15a0b476t.jpg,90,95
r001d260dt.jpg,55,50
r03640e97t.jpg,75,60
r072d955bt.jpg,55,90
r0d796d4ft.jpg,65,65
r1d00d8ect.jpg,95,55
r0ed16e26t.jpg,50,85
r0f91360ct.jpg,75,55
r171d73aat.jpg,80,55
r1077d1f2t.jpg,65,60
r0f979863t.jpg,90,95
r01170470t.jpg,70,90
r194c49f5t.jpg,65,90
r13907965t.jpg,60,60
r0cfedd72t.jpg,75,70
r04eb0d0ft.jpg,55,50
r1426cde6t.jpg,60,80
r042d5308t.jpg,90,65
r0515a051t.jpg,85,85
r0b82ae9bt.jpg,50,95
r0a54ed98t.jpg,90,100
r1234de87t.jpg,50,90
r0703243bt.jpg,50,50
r134ba6abt.jpg,85,60
r01292fd8t.jpg,55,70
r01291f20t.jpg,85,90
r1570dd6at.jpg,50,50
r061433aft.jpg,65,50
r0438eb97t.jpg,90,55
r1be4943bt.jpg,95,70
r127608abt.jpg,80,80
r06e1a520t.jpg,80,55
r01559391t.jpg,75,90
r144e095dt.jpg,60,100
r05db7e7ft.jpg,95,100
r1e3b4cdft.jpg,55,55
r0985dc6ct.jpg,100,100
r0c6cf00bt.jpg,75,60
r185929e9t.jpg,85,70
r180a7062t.jpg,95,60
r1c5ec853t.jpg,65,95
r1ebee709t.jpg,60,90
r0d0ff43at.jpg,75,65
r1c874ac4t.jpg,80,50
r0a776764t.jpg,80,75
r09d7cd4et.jpg,60,80
r094ced7bt.jpg,55,65
r142335f0t.jpg,100,60
r0f36ba1bt.jpg,90,60
r1b2765ebt.jpg,65,50
r03f70ccdt.jpg,50,75
r040bf4a5t.jpg,75,50
r1d431afft.jpg,70,50
r1c4deb71t.jpg,100,100
r1f3e6681t.jpg,90,95
r0356ea60t.jpg,90,85
r1a7346d0t.jpg,85,60
r107730b5t.jpg,100,50
r04395e54t.jpg,85,80
r13fccd2ft.jpg,90,50
r0b03e77at.jpg,60,80
r1baf2ce0t.jpg,60,95
r159d3942t.jpg,60,55
r038922cbt.jpg,80,65
r0aaa70c3t.jpg,100,75
r1ab0bb20t.jpg,55,70
r137bcd7at.jpg,75,65
r1db1c478t.jpg,70,70
r1dd9d6bft.jpg,70,85
r115c449dt.jpg,50,60
r16a02a12t.jpg,85,85
r02513d19t.jpg,80,55
r1c243af7t.jpg,90,70
r17c76042t.jpg,80,50
r01cf60c7t.jpg,100,80
r0176fbcat.jpg,75,75
r12daa983t.jpg,75,75
r04108c64t.jpg,70,50
